Rain (mm),Temp,Runoff (mm/day),Date
0,-3.5,0, 4/08/1978
1.6,-4,0, 5/08/1978
0.9,-0.5,0, 6/08/1978
0,0,0, 7/08/1978
7.8,-2.3,0, 8/08/1978
4.1,-5.5,0, 9/08/1978
0.4,-3.5,0,10/08/1978
4,0.5,0,11/08/1978
2.8,0,0,12/08/1978
0,-2.5,0,13/08/1978
6,-1.5,0,14/08/1978
3.4,0,0,15/08/1978
2,1,1,16/08/1978
7.4,1.2,1.4,17/08/1978
4.6,0,0,18/08/1978
14,1.5,2,19/08/1978
1.6,-0.4,0,20/08/1978
11.2,-0.5,0,21/08/1978
7,-2,0,22/08/1978
0,-3,0,23/08/1978
51,-1,0,24/08/1978
25,3,5,25/08/1978
13.1,0,0,26/08/1978
5.6,1.5,2,27/08/1978
19,-2,0,28/08/1978
0,-1.5,0,29/08/1978
0,-1,0,30/08/1978
0,-4,0,31/08/1978
0,-2.2,0, 1/09/1978
2.2,8.5,16, 2/09/1978
0,6,11, 3/09/1978
0,1.2,1.4, 4/09/1978
0,4,7, 5/09/1978
3.1,4.1,7.2, 6/09/1978
0,0.7,0.4, 7/09/1978
0,-1,0, 8/09/1978
0,5.5,10, 9/09/1978
0,4,7,10/09/1978
0,2,3,11/09/1978
0,3,5,12/09/1978
103,1,1,13/09/1978
0,2,3,14/09/1978
13,4,7,15/09/1978
0,-1,0,16/09/1978
0,0,0,17/09/1978
0,5,9,18/09/1978
0,-3,0,19/09/1978
0,-2,0,20/09/1978
0,-1.5,0,21/09/1978
0,3.5,6,22/09/1978
12.4,9,17,23/09/1978
0.6,-3,0,24/09/1978
0,0.5,0,25/09/1978
0.5,0.5,0,26/09/1978
0,-2,0,27/09/1978
37,6.5,12,28/09/1978
33,0,0,29/09/1978
20.6,0.6,0.2,30/09/1978
0.2,0.5,0, 1/10/1978
0,1,1, 2/10/1978
0.4,1.8,2.6, 3/10/1978
82,6,11, 4/10/1978
4.5,4.5,8, 5/10/1978
0,0.5,0, 6/10/1978
0,1,1, 7/10/1978
0,5.1,9.2, 8/10/1978
2.6,9.7,18.4, 9/10/1978
12.6,8.6,16.2,10/10/1978
7.1,6,11,11/10/1978
0,0.7,0.4,12/10/1978
5.4,-1.5,0,13/10/1978
0,-4,0,14/10/1978
0,-1,0,15/10/1978
0.8,5.7,10.4,16/10/1978
3.8,4.5,8,17/10/1978
5.2,7.5,14,18/10/1978
7.8,5.7,10.4,19/10/1978
10.4,4.4,7.8,20/10/1978
1.8,6.2,11.4,21/10/1978
2.8,4.5,8,22/10/1978
2.2,0,0,23/10/1978
0,-4.2,0,24/10/1978
0,2.5,4,25/10/1978
0,5,9,26/10/1978
0.2,7.8,14.6,27/10/1978
12.6,9.7,18.4,28/10/1978
25,9.3,17.6,29/10/1978
7.4,8,15,30/10/1978
11.4,7.5,14,31/10/1978
8.2,8.4,15.8, 1/11/1978
5.4,6.7,12.4, 2/11/1978
3.5,7.5,14, 3/11/1978
6.4,7.5,14, 4/11/1978
0.5,9.5,18, 5/11/1978
19.2,1.5,2, 6/11/1978
0,5.3,9.6, 7/11/1978
13.4,6.3,3.1, 8/11/1978
0,6.5,0, 9/11/1978
0,2.7,0,10/11/1978
0,6.5,0,11/11/1978
0.2,5.5,0,12/11/1978
0,5.4,0,13/11/1978
1.8,10.3,0,14/11/1978
10.4,12.2,0,15/11/1978
6.4,6.5,0,16/11/1978
1.8,-1.8,0,17/11/1978
0,3.8,1.8,18/11/1978
0,4.3,0,19/11/1978
0,7.7,0,20/11/1978
19.2,4,0,21/11/1978
0,5.5,0,22/11/1978
0,4.3,0,23/11/1978
0,-1,0,24/11/1978
0,2.2,0,25/11/1978
0,7.3,0,26/11/1978
0,8.4,0,27/11/1978
0,7.2,0,28/11/1978
0,8,0,29/11/1978
0,9,0,30/11/1978
0,6.9,0, 1/12/1978
0,12.1,0, 2/12/1978
0,9.4,0, 3/12/1978
7.4,4.6,0, 4/12/1978
0,6.4,0, 5/12/1978
0,8.7,0, 6/12/1978
0,15.5,0, 7/12/1978
73,7,0, 8/12/1978
0,8.2,0, 9/12/1978
0,9,0,10/12/1978
0,8.5,0,11/12/1978
0,8.1,0,12/12/1978
0,4.5,0,13/12/1978
0,3.5,0,14/12/1978
0,0.6,0,15/12/1978
0,5,0,16/12/1978
0,5.8,0,17/12/1978
0,5.5,0,18/12/1978
0,14,0,19/12/1978
0,12,0,20/12/1978
0,11.1,0,21/12/1978
1.6,9.4,0,22/12/1978
0.2,12.7,0,23/12/1978
0.4,11,0,24/12/1978
0,1.4,0,25/12/1978
0,2,0,26/12/1978
0,7,0,27/12/1978
0,4,0,28/12/1978
0,12.5,0,29/12/1978
0,9.5,0,30/12/1978
0,11,0,31/12/1978
0.6,6.3,0, 1/01/1979
0,7.8,0, 2/01/1979
0.4,10,0, 3/01/1979
0,4.9,0, 4/01/1979
0,6,0, 5/01/1979
0,4,0, 6/01/1979
0,12.8,0, 7/01/1979
0.8,16.9,0, 8/01/1979
0,16.1,0, 9/01/1979
20,15.4,0,10/01/1979
14.6,16.5,0,11/01/1979
12.5,14,0,12/01/1979
0,5.5,0,13/01/1979
0,5.3,0,14/01/1979
0,11.9,0,15/01/1979
0.2,9.1,0,16/01/1979
0,6.8,0,17/01/1979
0,1.8,0,18/01/1979
0,1,0,19/01/1979
0.2,14.3,0,20/01/1979
28,15.8,0,21/01/1979
5.2,9.7,0,22/01/1979
0,8.5,0,23/01/1979
0,6,0,24/01/1979
2,8,0,25/01/1979
12.2,9,0,26/01/1979
0,7.2,0,27/01/1979
0,7.2,0,28/01/1979
14.2,16,0,29/01/1979
30,8.7,0,30/01/1979
3,6.5,0,31/01/1979
0,3.2,0, 1/02/1979
0,1,0, 2/02/1979
0,0.5,0, 3/02/1979
0,4.3,0, 4/02/1979
0,4.6,0, 5/02/1979
0,5.5,0, 6/02/1979
0,8.5,0, 7/02/1979
0,8.1,0, 8/02/1979
0,10.7,0, 9/02/1979
0.8,13.3,0,10/02/1979
2.6,7,0,11/02/1979
0,8.2,0,12/02/1979
23.2,13.9,0,13/02/1979
0,8.3,0,14/02/1979
0,8.3,0,15/02/1979
0,3.5,0,16/02/1979
0,6.8,0,17/02/1979
0,7.8,0,18/02/1979
0,6.3,0,19/02/1979
0.2,5.2,0,20/02/1979
0,2.8,0,21/02/1979
2.2,2.8,0,22/02/1979
0,4.5,0,23/02/1979
0,6.8,0,24/02/1979
22.8,8.5,0,25/02/1979
0,-2.3,0,26/02/1979
0,0,0,27/02/1979
0,2.8,0,28/02/1979
0,7.4,0, 1/03/1979
76.6,4,0, 2/03/1979
1,3.5,0, 3/03/1979
0.4,6.8,0, 4/03/1979
1.2,4.4,0, 5/03/1979
0,3.3,0, 6/03/1979
17.6,2.5,0, 7/03/1979
5.2,4.9,0, 8/03/1979
0,2.7,0, 9/03/1979
0,5.5,0,10/03/1979
0,6,0,11/03/1979
0,5.3,0,12/03/1979
0.8,-2.1,0,13/03/1979
0,-3.3,0,14/03/1979
0,-1.8,0,15/03/1979
0.4,1,0.8,16/03/1979
0,2,0,17/03/1979
0,4.2,0,18/03/1979
0,1.7,0,19/03/1979
0,0.5,0,20/03/1979
0,1.6,0,21/03/1979
0,1.3,0,22/03/1979
0.4,1,0,23/03/1979
0,7.3,0,24/03/1979
7.6,9.5,0,25/03/1979
0,2.6,0,26/03/1979
0,4.2,0,27/03/1979
6.4,-2.1,0,28/03/1979
0.2,-7,0,29/03/1979
0,-1.5,0,30/03/1979
0,2.5,4,31/03/1979
0,3,2.6, 1/04/1979
0,2.3,0, 2/04/1979
0,3.2,0, 3/04/1979
0,6.6,0, 4/04/1979
0.3,4.8,0, 5/04/1979
7.8,4.5,0, 6/04/1979
14.6,4.5,0, 7/04/1979
5.2,2.8,0, 8/04/1979
2.1,-0.4,0, 9/04/1979
6.2,6,2.1,10/04/1979
0,0,0,11/04/1979
0,0.3,0,12/04/1979
1.2,3.2,0,13/04/1979
0,-2,0,14/04/1979
0.5,-1.2,0,15/04/1979
1,4.5,0.5,16/04/1979
1,-0.6,0,17/04/1979
2,-1,0,18/04/1979
0,1.1,1.2,19/04/1979
9.2,0,0,20/04/1979
1,1.2,1.4,21/04/1979
4.9,2.5,4,22/04/1979
0,2.2,3.4,23/04/1979
0,-2,0,24/04/1979
0.4,3.5,2.2,25/04/1979
0,-4,0,26/04/1979
0,-5,0,27/04/1979
0,2.4,0,28/04/1979
0,0,0,29/04/1979
0,0.5,0,30/04/1979
14.6,4.7,0, 1/05/1979
22.6,3,0, 2/05/1979
0.7,-0.5,0, 3/05/1979
0,-5.4,0, 4/05/1979
0,-3.9,0, 5/05/1979
0,-4.8,0, 6/05/1979
0,-3,0, 7/05/1979
0,0.3,0, 8/05/1979
0,0.5,0, 9/05/1979
0,-4.1,0,10/05/1979
0,-1.8,0,11/05/1979
10.8,1.7,0.7,12/05/1979
2.6,-3.3,0,13/05/1979
4.4,0.2,0,14/05/1979
0,-4.6,0,15/05/1979
0.3,-5,0,16/05/1979
0,-4.5,0,17/05/1979
0,-1.3,0,18/05/1979
0,-3,0,19/05/1979
0,-1.5,0,20/05/1979
0,-3.5,0,21/05/1979
0.8,-3.5,0,22/05/1979
3,4,7,23/05/1979
52.5,6.5,1.1,24/05/1979
1.4,5,0,25/05/1979
11.2,1.5,0,26/05/1979
0.6,-2.5,0,27/05/1979
0.4,2.2,0.6,28/05/1979
101.6,6.2,0,29/05/1979
13.8,0.5,0,30/05/1979
3,-2,0,31/05/1979
0.7,-1,0, 1/06/1979
0,-5,0, 2/06/1979
0,-5,0, 3/06/1979
0,-7.5,0, 4/06/1979
0,-6.5,0, 5/06/1979
8.3,2.6,4.2, 6/06/1979
0.4,-1,0, 7/06/1979
0,-1,0, 8/06/1979
